,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
294,2130,Single Family Home,3,2.5,1993,0,529,144,4,840000
295,2130,Condo/Townhome/Row Home/Co-Op,3,1,1016,0,289,180,119,540000
296,2130,Condo/Townhome/Row Home/Co-Op,2,1,690,0,196,121,114,465000
297,2130,Condo/Townhome/Row Home/Co-Op,3,3,2048,0.047015611,225,180,120,849000
298,2130,Condo/Townhome/Row Home/Co-Op,3,2,1133,0.026010101,144,154,109,840000
299,2130,Single Family Home,4,2.5,2732,0.128856749,169,260,4,1550000
300,2130,Single Family Home,4,2,1646,0.03684573,361,156,119,772600
301,2130,Single Family Home,4,3.5,3060,0.094719927,289,360,119,1185000
302,2130,Condo/Townhome/Row Home/Co-Op,2,1,1080,0,36,195,159,625000
303,2130,Condo/Townhome/Row Home/Co-Op,2,2.5,2169,0,196,165,114,1090000
304,2130,Condo/Townhome/Row Home/Co-Op,1,1,785,0,169,160,134,425000
305,2130,Condo/Townhome/Row Home/Co-Op,2,1,1055,0.024219467,169,165,114,530000
306,2130,Condo/Townhome/Row Home/Co-Op,3,1.5,1202,0.027594123,100,132,114,650000
307,2130,Single Family Home,7,4.5,4854,2,400,224,99,1560000
308,2130,Condo/Townhome/Row Home/Co-Op,2,2,1107,0.025413223,144,156,109,820000
309,2130,Condo/Townhome/Row Home/Co-Op,1,1.5,1057,0,81,225,19,559000
310,2130,Condo/Townhome/Row Home/Co-Op,2,1,1053,0.02151056,196,240,99,660000
311,2130,Condo/Townhome/Row Home/Co-Op,3,3,2280,0,144,225,43,994000
312,2130,Condo/Townhome/Row Home/Co-Op,3,2,1667,0,400,182,119,915000
313,2130,Condo/Townhome/Row Home/Co-Op,2,1,1181,0,121,308,149,552000
314,2130,Single Family Home,3,2.5,1388,0.145018365,196,209,55,760000
315,2130,Condo/Townhome/Row Home/Co-Op,3,2,2294,0,196,204,139,1180000
316,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,1560,0.125321396,36,204,1,685000
317,2130,Condo/Townhome/Row Home/Co-Op,3,2,1269,0,225,143,2,772000
318,2130,Condo/Townhome/Row Home/Co-Op,2,1,1016,0,324,156,114,665000
319,2130,Condo/Townhome/Row Home/Co-Op,2,1,987,0.022658402,225,140,114,6.00E+05
320,2130,Condo/Townhome/Row Home/Co-Op,3,1,1184,0,169,180,104,675000
321,2130,Condo/Townhome/Row Home/Co-Op,2,1,1134,0,64,192,55,450000
322,2130,Condo/Townhome/Row Home/Co-Op,2,1,984,0.022589532,225,154,104,460000
323,2130,Condo/Townhome/Row Home/Co-Op,2,1,959,0,400,168,119,480000
324,2130,Condo/Townhome/Row Home/Co-Op,2,1,1231,0,324,208,119,630000
325,2130,Condo/Townhome/Row Home/Co-Op,2,2,1031,0,256,132,114,749000
326,2130,Condo/Townhome/Row Home/Co-Op,3,2,1177,0,144,110,114,7.00E+05
327,2130,Condo/Townhome/Row Home/Co-Op,3,1.5,1683,0.031473829,169,160,109,860000
328,2130,Condo/Townhome/Row Home/Co-Op,3,2,1700,0.034504132,225,182,99,985000
329,2130,Single Family Home,3,2.5,1992,0.074380165,121,196,19,1340000
330,2130,Single Family Home,4,1.5,1965,0.088383838,361,154,119,785000
331,2130,Condo/Townhome/Row Home/Co-Op,2,1,1075,0.024678604,441,192,107,590000
332,2130,Condo/Townhome/Row Home/Co-Op,2,2,1162,0.026675849,100,144,119,820000
333,2130,Condo/Townhome/Row Home/Co-Op,2,1,1191,0.027341598,576,121,114,550000
334,2130,Condo/Townhome/Row Home/Co-Op,2,2,986,0,289,143,94,685000
335,2130,Single Family Home,4,3.5,1863,0,169,182,119,834000
336,2130,Condo/Townhome/Row Home/Co-Op,1,1,471,0,196,120,99,309000
337,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,2100,0,144,225,19,1190000
338,2130,Condo/Townhome/Row Home/Co-Op,4,2,2322,0,841,208,109,1100000
339,2130,Condo/Townhome/Row Home/Co-Op,3,1,1074,0,196,168,114,515000
340,2130,Condo/Townhome/Row Home/Co-Op,2,1.5,1585,0,144,238,96,805000
341,2130,Condo/Townhome/Row Home/Co-Op,2,1,1062,0.024380165,289,168,104,470000
342,2130,Condo/Townhome/Row Home/Co-Op,2,1,870,0,144,130,118,464000
343,2130,Single Family Home,7,4.5,6284,0,256,483,114,2375000
344,2130,Condo/Townhome/Row Home/Co-Op,3,1.5,1357,0,81,276,119,480000
345,2130,Condo/Townhome/Row Home/Co-Op,3,1,1061,0,196,168,114,5.00E+05
346,2130,Condo/Townhome/Row Home/Co-Op,2,3,2288,0.052525253,196,234,37,748000
347,2130,Condo/Townhome/Row Home/Co-Op,2,1,1024,0,144,130,99,475000
348,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,1661,0,225,182,6,715000
349,2130,Condo/Townhome/Row Home/Co-Op,2,1.5,1092,0,196,180,114,610000
350,2130,Condo/Townhome/Row Home/Co-Op,2,1,1011,0,144,144,91,437000
351,2130,Condo/Townhome/Row Home/Co-Op,3,2,1387,0,289,168,109,727500
352,2130,Single Family Home,3,1.5,1670,0.094054178,121,165,56,690000
353,2130,Condo/Townhome/Row Home/Co-Op,2,1,857,0,100,144,13,450000
354,2130,Condo/Townhome/Row Home/Co-Op,3,2,1200,0.027548209,169,210,12,690000
355,2130,Condo/Townhome/Row Home/Co-Op,2,1,815,0.018709826,64,130,114,550000
356,2130,Condo/Townhome/Row Home/Co-Op,2,2,1300,0,121,143,2,676000
357,2130,Single Family Home,3,2.5,1843,0.137741047,144,216,84,845000
358,2130,Single Family Home,5,3.5,3908,0.157713499,576,210,119,1825000
359,2130,Condo/Townhome/Row Home/Co-Op,3,1,1126,0,324,132,119,675000
360,2130,Single Family Home,3,2.5,2490,0.167424242,256,325,59,991000
361,2130,Single Family Home,3,1,1305,0.091528926,196,156,81,699000
362,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,2525,0,225,224,101,1420000
363,2130,Condo/Townhome/Row Home/Co-Op,1,1,523,0,100,238,99,397000
364,2130,Condo/Townhome/Row Home/Co-Op,2,1,803,0,100,156,109,449000
365,2130,Condo/Townhome/Row Home/Co-Op,2,1,945,0.021694215,169,121,114,539100
366,2130,Condo/Townhome/Row Home/Co-Op,2,1,1007,0.023117539,169,168,119,640000
367,2130,Condo/Townhome/Row Home/Co-Op,2,1,1013,0.02325528,121,156,96,670000
368,2130,Condo/Townhome/Row Home/Co-Op,2,1,834,0,225,130,89,425000
369,2130,Condo/Townhome/Row Home/Co-Op,2,2.5,1246,0,841,221,98,705000
370,2130,Condo/Townhome/Row Home/Co-Op,2,1,882,0,196,154,0,695000
371,2130,Condo/Townhome/Row Home/Co-Op,2,1,1100,0,144,120,94,650000
372,2130,Condo/Townhome/Row Home/Co-Op,2,1.5,1088,0,81,225,129,730000
373,2130,Condo/Townhome/Row Home/Co-Op,3,2,1318,0,169,154,129,1020000
374,2130,Single Family Home,3,1.5,1508,0.077548209,196,165,99,925000
375,2130,Single Family Home,3,2,1815,0.155624426,121,132,92,840000
376,2130,Condo/Townhome/Row Home/Co-Op,2,2,1200,0,225,144,119,660000
377,2130,Condo/Townhome/Row Home/Co-Op,2,1,1068,0,100,210,56,466437
378,2130,Condo/Townhome/Row Home/Co-Op,2,1,787,0,144,156,48,363000
379,2130,Condo/Townhome/Row Home/Co-Op,1,1.5,1059,0,144,270,134,459000
380,2130,Condo/Townhome/Row Home/Co-Op,2,1,1100,0,169,120,94,652500
381,2130,Condo/Townhome/Row Home/Co-Op,2,2,1035,0,256,144,109,605000
382,2131,Condo/Townhome/Row Home/Co-Op,2,1.5,1007,0,225,121,99,475000
383,2131,Condo/Townhome/Row Home/Co-Op,3,2.5,1785,0.04600551,441,345,12,689000
384,2131,Single Family Home,3,3,2146,0.122910927,169,288,52,6.00E+05
385,2131,Condo/Townhome/Row Home/Co-Op,2,1,1210,0,225,204,121,490000
386,2131,Single Family Home,3,1,1535,0.115932048,289,169,90,540000
387,2131,Single Family Home,3,1.5,2000,0.101285583,144,208,109,550000
388,2131,Condo/Townhome/Row Home/Co-Op,2,1,950,0,169,140,92,423000
389,2131,Condo/Townhome/Row Home/Co-Op,2,1.5,923,0,256,156,89,437000
390,2131,Condo/Townhome/Row Home/Co-Op,2,1,990,0,169,144,119,410000
391,2131,Condo/Townhome/Row Home/Co-Op,2,1,1114,0,169,154,109,470000
392,2131,Condo/Townhome/Row Home/Co-Op,3,1,1841,0,169,156,94,585000
393,2131,Condo/Townhome/Row Home/Co-Op,3,2.5,1585,0.036386593,289,208,18,549000
394,2131,Condo/Townhome/Row Home/Co-Op,2,1,934,0,81,121,94,440000
395,2131,Single Family Home,2,1,1277,0.068870523,256,120,99,510000
396,2131,Condo/Townhome/Row Home/Co-Op,4,2,1466,0,225,120,121,525000
397,2131,Condo/Townhome/Row Home/Co-Op,2,2.5,1343,0,484,260,1,516500
398,2131,Condo/Townhome/Row Home/Co-Op,2,1,1053,0,169,132,99,350000
399,2131,Single Family Home,3,1,1170,0.112786961,100,130,115,665000
400,2131,Single Family Home,3,1.5,1740,0.151515152,225,156,103,675000
401,2131,Condo/Townhome/Row Home/Co-Op,4,1,1460,0,169,156,109,542000
402,2131,Condo/Townhome/Row Home/Co-Op,2,1,1089,0,144,168,99,409500
403,2131,Condo/Townhome/Row Home/Co-Op,2,1,1036,0.023783287,144,126,114,501000
404,2131,Single Family Home,4,1.5,1530,0.097566575,144,165,53,645000
405,2131,Condo/Townhome/Row Home/Co-Op,3,2,1200,0,256,112,119,550000
406,2131,Single Family Home,3,2.5,1322,0.128948577,169,156,159,676000
407,2131,Single Family Home,3,1.5,1450,0.126262626,361,190,99,7.00E+05
408,2131,Single Family Home,2,1,956,0.114784206,324,140,89,657000
409,2131,Single Family Home,3,1.5,1460,0.107093664,121,207.5139,109,591400
410,2131,Condo/Townhome/Row Home/Co-Op,3,2,990,0,81,144,99,429000
411,2131,Single Family Home,4,2,1798,0.124517906,196,224,99,660000
412,2131,Condo/Townhome/Row Home/Co-Op,4,1,1743,0,225,342,129,6.00E+05
413,2131,Condo/Townhome/Row Home/Co-Op,4,2.5,2102,0,81,176,0,850000
414,2131,Single Family Home,3,1.5,1344,0.096418733,144,144,99,7.00E+05
415,2131,Single Family Home,3,1.5,1425,0.096166208,225,196,133,775000
416,2131,Condo/Townhome/Row Home/Co-Op,1,1,709,0.0162764,324,154,98,413000
417,2131,Condo/Townhome/Row Home/Co-Op,3,1,1034,0,100,130,99,420000
418,2131,Condo/Townhome/Row Home/Co-Op,3,2,1366,0.031359045,289,169,119,630000
419,2131,Condo/Townhome/Row Home/Co-Op,2,1,1131,0,144,169,99,516000
420,2131,Condo/Townhome/Row Home/Co-Op,3,2.5,1729,0,121,210,31,367000
421,2131,Condo/Townhome/Row Home/Co-Op,3,2.5,1731,0,100,140,32,403000
422,2131,Single Family Home,4,1.5,1795,0.091827365,225,418,109,695000
423,2131,Condo/Townhome/Row Home/Co-Op,3,2,1278,0,121,210,109,545000
424,2131,Condo/Townhome/Row Home/Co-Op,3,1,1068,0.024517906,144,132,84,430000
425,2131,Single Family Home,3,1.5,1508,0.12543618,169,168,89,765000
426,2131,Condo/Townhome/Row Home/Co-Op,2,1,1056,0,100,168,94,475000
427,2131,Condo/Townhome/Row Home/Co-Op,3,1,988,0,144,120,111,445000
428,2132,Single Family Home,6,2.5,2860,0.216368228,289,180,109,1165000
429,2132,Condo/Townhome/Row Home/Co-Op,1,1,738,0,81,132,8,375000
430,2132,Single Family Home,4,2,1669,0.1271809,144,156,88,730000
431,2132,Single Family Home,3,1.5,1329,0.197474747,121,240,63,630000
432,2132,Single Family Home,3,1.5,1800,0.114784206,196,240,81,665000
433,2132,Single Family Home,3,2,1642,0.101974288,256,180,79,556629
434,2132,Condo/Townhome/Row Home/Co-Op,2,1,615,0,144,132,54,319900
435,2132,Condo/Townhome/Row Home/Co-Op,1,1,552,0,64,121,56,245000
436,2132,Condo/Townhome/Row Home/Co-Op,3,1,1236,0,169,132,84,530000
437,2132,Single Family Home,3,2,1950,0.157690542,121,195,79,7.00E+05
438,2132,Single Family Home,3,2,1723,0.114784206,144,221,104,685000
439,2132,Condo/Townhome/Row Home/Co-Op,2,2,1055,0,100,176,33,390000
440,2132,Single Family Home,5,2,2317,0.150665748,121,208,69,850000
441,2132,Condo/Townhome/Row Home/Co-Op,3,1,1236,0,196,165,119,362500
442,2132,Single Family Home,4,2.5,3345,0.140679522,400,260,7,1049725
443,2132,Single Family Home,6,2,2010,0.171602388,324,196,122,419250
444,2132,Single Family Home,4,2.5,2452,0.152846648,156.25,185.375,87,775000
445,2132,Condo/Townhome/Row Home/Co-Op,3,1,1180,0,169,132,91,541000
446,2132,Single Family Home,4,2,2169,0.137878788,225,154,94,789000
447,2132,Single Family Home,3,1.5,1303,0.110192837,100,144,60,481500
448,2132,Single Family Home,3,1.5,1504,0.119605142,225,198,89,732000
449,2132,Single Family Home,3,1.5,1968,0.07805326,529,156,99,650000
450,2132,Single Family Home,4,1.5,3112,0.184573003,121,238,133,890000
451,2132,Single Family Home,3,1,1500,0.09825528,196,150,63,560000
452,2132,Single Family Home,4,2,2246,0.140036731,100,140,59,631000
453,2132,Condo/Townhome/Row Home/Co-Op,2,1,570,0,100,110,64,205000
454,2132,Single Family Home,3,2.5,1900,0.147842057,81,156,89,880000
455,2132,Condo/Townhome/Row Home/Co-Op,1,1,853,0,81,221,33,265000
456,2132,Single Family Home,4,2,1416,0.110192837,144,238,90,619000
457,2132,Single Family Home,3,2,1400,0.100573921,169,156,63,529000
458,2132,Single Family Home,3,1.5,1400,0.112488522,144,154,94,652617
459,2132,Single Family Home,5,2.5,1832,0.1390955,100,120,59,645000
460,2132,Condo/Townhome/Row Home/Co-Op,1,1,575,0,64,168,54,262500
461,2134,Condo/Townhome/Row Home/Co-Op,2,1,720,0,121,140,99,375000
462,2134,Condo/Townhome/Row Home/Co-Op,2,2,1083,0,81,209,12,788000
463,2134,Condo/Townhome/Row Home/Co-Op,2,1,1092,0,100,120,103,539900
464,2134,Condo/Townhome/Row Home/Co-Op,2,2,1644,0,144,156,13,720000
465,2134,Condo/Townhome/Row Home/Co-Op,3,2.5,1367,0,196,168,13,740000
466,2134,Condo/Townhome/Row Home/Co-Op,2,1,762,0,49,168,89,485000
467,2135,Single Family Home,3,1.5,1596,0.114784206,144,192,63,7.00E+05
468,2135,Condo/Townhome/Row Home/Co-Op,2,1,1241,0,49,180,114,508500
469,2135,Condo/Townhome/Row Home/Co-Op,2,1,1250,0,289,195,94,510000
470,2135,Condo/Townhome/Row Home/Co-Op,2,1,983,0.022566575,64,210,55,437500
471,2135,Single Family Home,4,2.5,1896,0.126262626,256,276,99,880000
472,2135,Single Family Home,5,3,3551,0.104683196,196,336,69,1025000
473,2135,Condo/Townhome/Row Home/Co-Op,2,1,923,0,289,130,59,476000
474,2135,Condo/Townhome/Row Home/Co-Op,3,3.5,2164,0,169,182,4,1100000
475,2135,Condo/Townhome/Row Home/Co-Op,2,1,1024,0,441,130,129,530000
476,2135,Condo/Townhome/Row Home/Co-Op,3,2,1960,0,256,180,92,602500
477,2135,Condo/Townhome/Row Home/Co-Op,2,2,1277,0.029315886,64,280,17,749000
478,2135,Condo/Townhome/Row Home/Co-Op,3,1,965,0.022153352,81,196,94,511800
479,2135,Condo/Townhome/Row Home/Co-Op,2,2,1926,0,196,336,120,815000
480,2135,Condo/Townhome/Row Home/Co-Op,2,1.5,1011,0,361,156,99,585000
481,2135,Condo/Townhome/Row Home/Co-Op,4,2,1195,0,324,182,99,615000
482,2135,Single Family Home,4,2,1456,0.23,121,154,98,785000
483,2135,Single Family Home,4,1.5,1504,0.0815427,324,176,99,740000
484,2135,Condo/Townhome/Row Home/Co-Op,3,1,950,0,144,120,129,397000
485,2135,Condo/Townhome/Row Home/Co-Op,2,1,825,0.018939394,256,143,56,452000
486,2135,Condo/Townhome/Row Home/Co-Op,1,1,769,0,144,221,134,427000
487,2135,Condo/Townhome/Row Home/Co-Op,1,1,556,0,25,132,99,365000
488,2135,Condo/Townhome/Row Home/Co-Op,1,1,488,0,81,108,44,336900
489,2135,Condo/Townhome/Row Home/Co-Op,2,1,892,0.020477502,81,143,95,515000
490,2135,Condo/Townhome/Row Home/Co-Op,1,1,604,0.013865932,144,168,55,345000
491,2135,Condo/Townhome/Row Home/Co-Op,2,2,1028,0.022704316,100,324,16,685000
492,2135,Condo/Townhome/Row Home/Co-Op,3,2,1050,0,64,180,56,498000
493,2135,Condo/Townhome/Row Home/Co-Op,1,1,1003,0.023025712,81,300,17,592000
494,2135,Condo/Townhome/Row Home/Co-Op,2,1,834,0,121,195,72,355000
495,2135,Single Family Home,3,1,1390,0.29,121,126,99,775000
496,2135,Condo/Townhome/Row Home/Co-Op,2,1,831,0,289,130,109,458000
497,2135,Condo/Townhome/Row Home/Co-Op,1,1,968,0,64,143,125,405000
498,2135,Condo/Townhome/Row Home/Co-Op,3,2.5,2194,0,225,323,1,899000
499,2135,Condo/Townhome/Row Home/Co-Op,2,1,681,0.015633609,121,140,81,420000
500,2135,Condo/Townhome/Row Home/Co-Op,1,1,460,0.010560147,144,165,72,309000
501,2136,Single Family Home,4,1.5,2200,0.151515152,289,195,119,540000
502,2136,Single Family Home,4,2,1568,0.103305785,64,154,75,445000
503,2136,Single Family Home,3,1,1200,0.114784206,144,121,79,473000
504,2136,Condo/Townhome/Row Home/Co-Op,2,1,954,0,400,143,49,230000
505,2136,Single Family Home,4,1.5,1987,0.182392103,100,187,89,660000
506,2136,Condo/Townhome/Row Home/Co-Op,1,1,520,0,100,104,54,160000
507,2136,Single Family Home,3,1,1339,0.150183655,81,153,77,454000
508,2136,Single Family Home,3,2,1468,0.10617539,144,198,84,491000
509,2136,Single Family Home,3,2,1228,0.11707989,144,154,59,565000
510,2136,Single Family Home,3,1,1415,0.153741965,169,204,109,442000
511,2136,Single Family Home,4,2,1883,0.114784206,169,168,139,625000
512,2136,Single Family Home,4,1.5,1470,0.152433425,121,195,49,512000
513,2136,Condo/Townhome/Row Home/Co-Op,1,1,1529,0.02362259,100,450,9,440000
514,2136,Condo/Townhome/Row Home/Co-Op,2,2,1081,0,256,182,0,435000
515,2136,Single Family Home,4,2,1318,0.132805326,144,231,78,460000
516,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,1975,0,100,270,49,1425000
517,Other,Condo/Townhome/Row Home/Co-Op,2,1,1051,0,225,144,99,602000
518,Other,Condo/Townhome/Row Home/Co-Op,1,1,622,0,289,180,119,470000
519,Other,Condo/Townhome/Row Home/Co-Op,1,1.5,825,0,225,169,99,490000
520,Other,Condo/Townhome/Row Home/Co-Op,2,2,806,0,256,130,0,485000
521,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,1750,0,225,300,129,485000
522,Other,Single Family Home,3,2,1716,0.20610652,144,154,64,750000
523,Other,Single Family Home,3,1.5,1931,0,121,208,82,765000
524,Other,Single Family Home,3,1,1412,0.113911846,121,144,89,5.00E+05
525,Other,Single Family Home,3,2,1050,0.114784206,144,154,104,450000
526,Other,Single Family Home,4,2,1965,0.179683196,100,195,119,8.00E+05
527,Other,Single Family Home,4,2.5,2742,0.181703398,196,272,117,790000
528,Other,Single Family Home,3,1.5,2353,0.23,256,130,48,615000
529,Other,Single Family Home,3,1.5,1727,0.33,169,165,57,535000
530,Other,Single Family Home,4,1.5,2378,0.157690542,144,252,87,8.00E+05
531,Other,Single Family Home,3,1.5,1476,0.53,121,273,56,460000
532,Other,Single Family Home,5,3.5,3079,0.36,529,330,53,568500
533,Other,Single Family Home,3,1,1494,0.080348944,361,324,87,377400
534,Other,Condo/Townhome/Row Home/Co-Op,2,2.5,1906,0,144,255,11,3668560
535,Other,Condo/Townhome/Row Home/Co-Op,2,2.5,1733,0,289,187,4,3800000
536,Other,Condo/Townhome/Row Home/Co-Op,1,1,888,0.020385675,361,216,108,775000
537,Other,Condo/Townhome/Row Home/Co-Op,2,2,1510,0.03466483,169,221,15,1250000
538,2215,Condo/Townhome/Row Home/Co-Op,2,2,1200,0.027548209,64,195,14,995000
539,2215,Condo/Townhome/Row Home/Co-Op,2,2,1050,0.024104683,256,294,129,1162500
540,2215,Condo/Townhome/Row Home/Co-Op,1,1,536,0.012304867,25,143,119,495000
541,2215,Condo/Townhome/Row Home/Co-Op,2,1,934,0.02144169,81,196,119,805000
542,2215,Condo/Townhome/Row Home/Co-Op,1,1,815,0,81,156,1,1280000
543,2215,Condo/Townhome/Row Home/Co-Op,3,2,1695,0.038911846,121,300,99,1040000
544,Other,Single Family Home,3,1,1356,0.114784206,256,132,84,322000
545,2420,Single Family Home,4,2.5,2539,0.46,121,368,64,1098000
546,2420,Single Family Home,5,3.5,4400,1.17,1024,272,21,1590000
547,2420,Single Family Home,5,5,4757,0.69,529,456,0,1730000
548,2420,Single Family Home,4,2,2198,0.42,144,266,69,8.00E+05
549,2420,Single Family Home,7,5,5061,0.79,225,210,28,1350000
550,Other,Single Family Home,4,2.5,3671,0.37,441,273,42,1325000
551,Other,Single Family Home,2,2,2160,0.84,324,132,64,616000
552,Other,Single Family Home,3,2.5,1456,0.076997245,93.5089,207.3739,15,631000
553,Other,Condo/Townhome/Row Home/Co-Op,2,1,934,0,121,210,10,465000
554,Other,Single Family Home,4,3.5,3107,0.46,484,187,58,1162000
555,Other,Condo/Townhome/Row Home/Co-Op,2,2,1310,0,121,231,13,550000
556,Other,Condo/Townhome/Row Home/Co-Op,3,2,1402,0.154040404,121,169,113,759000
557,Other,Single Family Home,4,3.5,3940,0.25,196,247,66,1400000
558,Other,Single Family Home,4,3.5,3500,0.23,256,270,20,1306000
559,Other,Condo/Townhome/Row Home/Co-Op,3,2,1294,0,484,209,103,760000
560,2467,Condo/Townhome/Row Home/Co-Op,2,1,786,0,81,156,69,371000
561,2467,Single Family Home,4,2.5,2946,0.36,81,221,84,1175000
562,2467,Single Family Home,2,1.5,1232,0.31,169,169,67,1025000
563,2467,Single Family Home,5,5.5,6537,0.67,361,870,27,3725000
564,2467,Condo/Townhome/Row Home/Co-Op,1,1,575,0,121,132,54,290000
565,2467,Condo/Townhome/Row Home/Co-Op,2,1,770,0,121,144,64,340000
566,2467,Condo/Townhome/Row Home/Co-Op,2,1,780,0,169,144,64,3.00E+05
567,2467,Condo/Townhome/Row Home/Co-Op,4,4.5,4770,0,324,300,30,1410000
568,Other,Single Family Home,4,2.5,1890,0.171372819,225,165,104,1200180
569,Other,Single Family Home,3,1.5,1840,0.134986226,225,288,93,826000
570,Other,Single Family Home,3,2.5,2003,0.114784206,121,225,69,751000
571,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,2000,0.137741047,144,144,101,708000
572,2476,Single Family Home,5,2.5,3108,0.166115702,225,192,129,1075000
573,2476,Single Family Home,4,3.5,2713,0.158172635,625,187,60,1150000
574,2476,Single Family Home,3,1.5,1726,0.28,144,238,78,791510
575,2476,Single Family Home,4,1.5,1718,0.072773186,289,195,99,765000
576,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,2032,0,90.25,172.5,22,820000
577,Other,Single Family Home,3,1.5,1359,0.114784206,196,144,119,670000
578,Other,Single Family Home,3,2.5,2211,0.6,225,468,82,1062000
579,Other,Single Family Home,5,2.5,2378,0.25,121,336,92,1190000
580,2492,Single Family Home,4,2.5,2875,0.23,121,322,47,1125000
581,2492,Single Family Home,3,2,1476,0.23,121,165,45,842700
582,2492,Single Family Home,4,3.5,3150,0.169995409,400,270,2,1399000
583,2492,Single Family Home,5,6,5443,0.23,529,374,0,1950000
584,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,3060,0,225,225,18,1172500
585,Other,Single Family Home,5,4.5,5775,0.9,729,464,66,1727500
586,Other,Single Family Home,4,3.5,3676,0.73,324,225,221,857500
587,Other,Single Family Home,4,2.5,3000,0.23,484,238,14,1050000
588,Other,Single Family Home,4,4.5,2275,0.29,289,156,100,1020000
